tower_id,network_region,technology,tower_health_score,tower_status,risk_category,failure_probability,recommended_action,total_customers,affected_customers,monthly_revenue,revenue_at_risk
T1302,Central,5G,78.25,Warning,MEDIUM,44.58,Increase monitoring frequency,16,0,9984,0
T1303,North,4G,78.92,Warning,MEDIUM,35.63,Increase monitoring frequency,26,0,19074,0
T1304,West,4G,78.98,Warning,LOW,17.73,Normal monitoring,21,0,14679,0
T1305,Central,4G,78.72,Warning,MEDIUM,33.73,Increase monitoring frequency,21,0,15479,0
T1306,East,5G,51.21,Critical,CRITICAL,100.0,Immediate technician inspection,21,21,12779,12779
T1307,West,4G,78.12,Warning,LOW,20.5,Normal monitoring,31,0,21969,0
T1308,North,4G,78.38,Warning,MEDIUM,25.23,Increase monitoring frequency,8,0,5192,0
T1309,East,5G,78.76,Warning,LOW,24.75,Normal monitoring,26,0,19674,0
T1310,East,4G,79.35,Warning,LOW,21.49,Normal monitoring,16,0,11284,0
T1311,East,4G,79.04,Warning,LOW,17.5,Normal monitoring,16,0,11084,0
T1312,West,5G,78.5,Warning,MEDIUM,28.37,Increase monitoring frequency,21,0,16179,0
T1313,West,4G,78.66,Warning,CRITICAL,83.88,Immediate technician inspection,17,17,12983,12983
T1314,North,5G,78.11,Warning,LOW,16.29,Normal monitoring,22,0,17878,0
T1315,West,5G,78.06,Warning,MEDIUM,45.37,Increase monitoring frequency,20,0,15880,0
T1316,East,4G,78.54,Warning,MEDIUM,34.6,Increase monitoring frequency,15,0,10385,0
T1317,East,5G,79.04,Warning,MEDIUM,49.67,Increase monitoring frequency,24,0,17376,0
T1318,East,4G,78.31,Warning,MEDIUM,25.72,Increase monitoring frequency,19,0,12281,0
T1319,East,4G,79.01,Warning,LOW,16.27,Normal monitoring,18,0,10582,0
T1320,South,5G,78.25,Warning,LOW,12.43,Normal monitoring,16,0,10084,0
T1321,East,5G,79.13,Warning,MEDIUM,42.34,Increase monitoring frequency,20,0,15380,0
T1322,East,5G,78.81,Warning,LOW,18.82,Normal monitoring,18,0,14382,0
T1323,Central,5G,78.7,Warning,LOW,24.15,Normal monitoring,16,0,10184,0
T1324,North,5G,78.67,Warning,LOW,13.77,Normal monitoring,22,0,15678,0
T1325,North,4G,78.55,Warning,MEDIUM,25.44,Increase monitoring frequency,20,0,13280,0
T1326,North,4G,78.92,Warning,CRITICAL,80.51,Immediate technician inspection,15,15,8785,8785
T1327,East,5G,77.73,Warning,MEDIUM,25.61,Increase monitoring frequency,19,0,15381,0
T1328,West,5G,78.68,Warning,HIGH,57.4,Schedule preventive maintenance,19,19,14481,14481
T1329,South,5G,78.74,Warning,LOW,24.1,Normal monitoring,22,0,12778,0
T1330,North,4G,78.49,Warning,HIGH,73.29,Schedule preventive maintenance,23,23,15777,15777
T1331,Central,4G,78.32,Warning,HIGH,65.71,Schedule preventive maintenance,21,21,17179,17179
T1332,South,5G,78.6,Warning,LOW,24.17,Normal monitoring,14,0,10686,0
T1333,North,4G,78.86,Warning,LOW,15.82,Normal monitoring,28,0,20372,0
T1334,North,5G,78.58,Warning,LOW,24.64,Normal monitoring,16,0,14084,0
T1335,Central,5G,78.3,Warning,LOW,16.76,Normal monitoring,15,0,12185,0
T1336,East,4G,79.4,Warning,MEDIUM,49.84,Increase monitoring frequency,24,0,16976,0
T1337,South,5G,50.89,Critical,CRITICAL,100.0,Immediate technician inspection,30,30,22070,22070
T1338,West,4G,78.83,Warning,LOW,23.63,Normal monitoring,17,0,11283,0
T1339,West,5G,78.58,Warning,LOW,22.16,Normal monitoring,23,0,18077,0
T1340,North,4G,79.26,Warning,CRITICAL,80.66,Immediate technician inspection,23,23,17677,17677
T1341,West,5G,78.57,Warning,MEDIUM,35.97,Increase monitoring frequency,28,0,18072,0
T1342,Central,4G,78.44,Warning,MEDIUM,25.01,Increase monitoring frequency,21,0,13179,0
T1343,North,4G,78.5,Warning,MEDIUM,35.7,Increase monitoring frequency,13,0,8787,0
T1344,East,4G,79.13,Warning,LOW,8.81,Normal monitoring,29,0,20271,0
T1345,North,5G,79.13,Warning,MEDIUM,25.51,Increase monitoring frequency,29,0,20771,0
T1346,South,5G,79.5,Warning,CRITICAL,89.77,Immediate technician inspection,14,14,8986,8986
T1347,Central,4G,78.2,Warning,HIGH,62.35,Schedule preventive maintenance,23,23,16777,16777
T1348,East,4G,78.46,Warning,MEDIUM,42.17,Increase monitoring frequency,15,0,9485,0
T1349,Central,5G,79.1,Warning,LOW,23.11,Normal monitoring,24,0,16076,0
T1350,Central,4G,78.44,Warning,LOW,17.97,Normal monitoring,27,0,21573,0
T1351,East,5G,79.14,Warning,MEDIUM,35.18,Increase monitoring frequency,26,0,18674,0
T1352,East,5G,78.61,Warning,HIGH,53.04,Schedule preventive maintenance,17,17,12483,12483
T1353,West,5G,78.87,Warning,HIGH,73.46,Schedule preventive maintenance,25,25,17575,17575
T1354,East,5G,51.0,Critical,CRITICAL,100.0,Immediate technician inspection,18,18,14282,14282
T1355,South,5G,78.73,Warning,LOW,20.49,Normal monitoring,28,0,19572,0
T1356,West,4G,80.3,Healthy,CRITICAL,86.93,Immediate technician inspection,21,21,17379,17379
T1357,North,5G,78.35,Warning,LOW,19.35,Normal monitoring,20,0,10880,0
T1358,South,4G,78.48,Warning,MEDIUM,28.88,Increase monitoring frequency,18,0,12982,0
T1359,South,4G,78.86,Warning,HIGH,52.51,Schedule preventive maintenance,15,15,9685,9685
T1360,East,5G,78.38,Warning,MEDIUM,27.29,Increase monitoring frequency,17,0,12483,0
T1361,West,4G,78.6,Warning,MEDIUM,29.39,Increase monitoring frequency,27,0,17573,0
T1362,East,5G,79.02,Warning,MEDIUM,28.79,Increase monitoring frequency,23,0,16077,0
T1363,East,4G,77.78,Warning,MEDIUM,25.35,Increase monitoring frequency,21,0,16579,0
T1364,East,5G,78.19,Warning,LOW,24.99,Normal monitoring,13,0,9887,0
T1365,Central,4G,79.68,Warning,MEDIUM,37.58,Increase monitoring frequency,11,0,9989,0
T1366,Central,5G,51.75,Critical,CRITICAL,100.0,Immediate technician inspection,13,13,10287,10287
T1367,Central,4G,78.78,Warning,LOW,21.57,Normal monitoring,24,0,15476,0
T1368,East,5G,78.72,Warning,LOW,20.71,Normal monitoring,22,0,15078,0
T1369,West,4G,78.06,Warning,CRITICAL,81.6,Immediate technician inspection,20,20,13580,13580
T1370,West,5G,78.98,Warning,MEDIUM,29.28,Increase monitoring frequency,27,0,18773,0
T1371,East,5G,78.22,Warning,LOW,21.22,Normal monitoring,12,0,8588,0
T1372,Central,5G,78.9,Warning,MEDIUM,31.18,Increase monitoring frequency,20,0,12280,0
T1373,Central,5G,78.49,Warning,CRITICAL,83.98,Immediate technician inspection,24,24,14776,14776
T1374,North,5G,79.03,Warning,LOW,24.15,Normal monitoring,18,0,9582,0
T1375,Central,5G,79.02,Warning,MEDIUM,35.12,Increase monitoring frequency,21,0,14779,0
T1376,Central,4G,78.61,Warning,MEDIUM,33.12,Increase monitoring frequency,20,0,13480,0
T1377,Central,5G,78.82,Warning,LOW,13.58,Normal monitoring,20,0,12280,0
T1378,Central,4G,78.25,Warning,LOW,16.42,Normal monitoring,20,0,12780,0
T1379,South,5G,78.99,Warning,LOW,23.78,Normal monitoring,20,0,15380,0
T1380,West,4G,79.11,Warning,MEDIUM,26.81,Increase monitoring frequency,18,0,13782,0
T1381,East,5G,77.83,Warning,LOW,14.0,Normal monitoring,18,0,11082,0
T1382,West,5G,79.08,Warning,CRITICAL,81.05,Immediate technician inspection,22,22,14778,14778
T1383,Central,5G,78.29,Warning,LOW,22.85,Normal monitoring,17,0,12483,0
T1384,East,4G,78.88,Warning,LOW,16.65,Normal monitoring,25,0,18475,0
T1385,South,5G,79.11,Warning,CRITICAL,80.38,Immediate technician inspection,19,19,14381,14381
T1386,East,4G,78.72,Warning,LOW,12.39,Normal monitoring,24,0,15876,0
T1387,East,4G,78.4,Warning,MEDIUM,25.54,Increase monitoring frequency,19,0,16481,0
T1388,East,5G,79.38,Warning,MEDIUM,36.54,Increase monitoring frequency,24,0,18076,0
T1389,South,5G,78.78,Warning,LOW,23.46,Normal monitoring,23,0,15077,0
T1390,North,4G,78.06,Warning,MEDIUM,26.84,Increase monitoring frequency,28,0,20972,0
T1391,South,4G,78.81,Warning,LOW,18.32,Normal monitoring,18,0,15082,0
T1392,North,4G,78.78,Warning,LOW,18.98,Normal monitoring,25,0,14275,0
T1393,West,5G,78.51,Warning,CRITICAL,83.68,Immediate technician inspection,13,13,8887,8887
T1394,East,5G,78.9,Warning,LOW,14.55,Normal monitoring,13,0,10887,0
T1395,Central,4G,78.9,Warning,CRITICAL,78.18,Immediate technician inspection,25,25,13675,13675
T1396,South,5G,78.84,Warning,LOW,18.39,Normal monitoring,21,0,12279,0
T1397,West,5G,79.24,Warning,MEDIUM,38.81,Increase monitoring frequency,28,0,18172,0
T1398,North,4G,78.52,Warning,LOW,20.84,Normal monitoring,16,0,11184,0
T1399,East,5G,78.73,Warning,MEDIUM,34.2,Increase monitoring frequency,26,0,16874,0
T1400,South,5G,79.29,Warning,MEDIUM,44.35,Increase monitoring frequency,23,0,14477,0
T1401,South,5G,78.82,Warning,MEDIUM,25.45,Increase monitoring frequency,8,0,5492,0
T1402,East,5G,79.56,Warning,MEDIUM,28.1,Increase monitoring frequency,19,0,15881,0
T1403,Central,5G,78.48,Warning,MEDIUM,25.54,Increase monitoring frequency,32,0,21268,0
T1404,West,4G,51.33,Critical,CRITICAL,100.0,Immediate technician inspection,22,22,17178,17178
T1405,South,4G,79.36,Warning,HIGH,61.17,Schedule preventive maintenance,19,19,12981,12981
T1406,East,5G,78.41,Warning,LOW,12.0,Normal monitoring,19,0,13581,0
T1407,East,4G,79.0,Warning,CRITICAL,76.85,Immediate technician inspection,18,18,12682,12682
T1408,South,5G,79.54,Warning,MEDIUM,29.84,Increase monitoring frequency,19,0,12781,0
T1409,North,5G,79.11,Warning,MEDIUM,26.48,Increase monitoring frequency,20,0,15080,0
T1410,West,4G,79.09,Warning,MEDIUM,37.91,Increase monitoring frequency,19,0,13381,0
T1411,West,5G,78.6,Warning,MEDIUM,27.06,Increase monitoring frequency,23,0,17277,0
T1412,South,4G,78.27,Warning,LOW,18.29,Normal monitoring,19,0,12981,0
T1413,North,4G,78.29,Warning,MEDIUM,29.62,Increase monitoring frequency,16,0,12884,0
T1414,South,4G,78.45,Warning,LOW,21.63,Normal monitoring,22,0,14278,0
T1415,North,4G,78.92,Warning,HIGH,74.28,Schedule preventive maintenance,25,25,13975,13975
T1416,West,4G,79.11,Warning,MEDIUM,37.73,Increase monitoring frequency,19,0,13281,0
T1417,Central,4G,78.09,Warning,LOW,13.81,Normal monitoring,23,0,19677,0
T1418,North,5G,79.62,Warning,HIGH,55.73,Schedule preventive maintenance,17,17,9683,9683
T1419,Central,4G,78.66,Warning,LOW,16.97,Normal monitoring,18,0,11382,0
T1420,Central,4G,78.6,Warning,MEDIUM,25.4,Increase monitoring frequency,19,0,15281,0
T1421,North,5G,78.85,Warning,MEDIUM,40.0,Increase monitoring frequency,20,0,14780,0
T1422,East,5G,79.44,Warning,LOW,24.05,Normal monitoring,13,0,10987,0
T1423,West,4G,78.42,Warning,LOW,19.92,Normal monitoring,19,0,12381,0
T1424,South,5G,78.17,Warning,LOW,14.35,Normal monitoring,16,0,8184,0
T1425,Central,4G,78.61,Warning,CRITICAL,79.23,Immediate technician inspection,26,26,18274,18274
T1426,North,5G,78.43,Warning,LOW,21.12,Normal monitoring,26,0,20674,0
T1427,Central,5G,78.66,Warning,LOW,22.1,Normal monitoring,21,0,16279,0
T1428,South,5G,78.6,Warning,MEDIUM,48.21,Increase monitoring frequency,12,0,7488,0
T1429,North,5G,79.36,Warning,LOW,18.04,Normal monitoring,18,0,12982,0
T1430,South,4G,78.79,Warning,MEDIUM,34.14,Increase monitoring frequency,26,0,18374,0
T1431,Central,4G,79.08,Warning,MEDIUM,25.1,Increase monitoring frequency,27,0,18473,0
T1432,South,4G,78.79,Warning,LOW,17.7,Normal monitoring,25,0,18775,0
T1433,Central,5G,77.67,Warning,LOW,21.11,Normal monitoring,19,0,16481,0
T1434,East,5G,78.13,Warning,MEDIUM,33.74,Increase monitoring frequency,19,0,13081,0
T1435,South,5G,78.62,Warning,MEDIUM,27.1,Increase monitoring frequency,22,0,11478,0
T1436,South,5G,79.08,Warning,LOW,21.66,Normal monitoring,15,0,11785,0
T1437,West,5G,78.89,Warning,MEDIUM,28.68,Increase monitoring frequency,15,0,8585,0
T1438,West,4G,78.93,Warning,LOW,19.69,Normal monitoring,17,0,10283,0
T1439,East,4G,78.9,Warning,MEDIUM,31.27,Increase monitoring frequency,14,0,8686,0
T1440,West,5G,79.11,Warning,LOW,20.76,Normal monitoring,28,0,21372,0
T1441,East,4G,79.18,Warning,LOW,24.71,Normal monitoring,19,0,14481,0
T1442,East,4G,78.88,Warning,LOW,14.78,Normal monitoring,23,0,18577,0
T1443,East,5G,79.13,Warning,LOW,13.52,Normal monitoring,20,0,14080,0
T1444,South,4G,78.11,Warning,MEDIUM,32.18,Increase monitoring frequency,17,0,12483,0
T1445,East,4G,50.69,Critical,CRITICAL,100.0,Immediate technician inspection,17,17,11383,11383
T1446,West,4G,78.63,Warning,MEDIUM,25.05,Increase monitoring frequency,21,0,17479,0
T1447,South,5G,79.11,Warning,LOW,19.17,Normal monitoring,19,0,12681,0
T1448,East,5G,78.41,Warning,LOW,14.06,Normal monitoring,19,0,13581,0
T1449,West,4G,78.19,Warning,MEDIUM,33.22,Increase monitoring frequency,25,0,18875,0
T1450,South,5G,78.63,Warning,LOW,19.47,Normal monitoring,20,0,12680,0
T1451,South,4G,78.42,Warning,MEDIUM,25.94,Increase monitoring frequency,18,0,13382,0
T1452,West,5G,78.9,Warning,LOW,18.18,Normal monitoring,23,0,15377,0
T1453,Central,4G,78.3,Warning,MEDIUM,37.45,Increase monitoring frequency,23,0,16377,0
T1454,East,5G,78.83,Warning,LOW,20.74,Normal monitoring,24,0,16976,0
T1455,West,4G,78.56,Warning,LOW,18.74,Normal monitoring,16,0,10684,0
T1456,Central,5G,78.12,Warning,MEDIUM,38.91,Increase monitoring frequency,18,0,12682,0
T1457,Central,4G,78.61,Warning,MEDIUM,29.72,Increase monitoring frequency,28,0,17972,0
T1458,North,5G,78.53,Warning,MEDIUM,30.54,Increase monitoring frequency,11,0,8889,0
T1459,South,4G,78.25,Warning,LOW,24.01,Normal monitoring,14,0,6786,0
T1460,Central,5G,79.12,Warning,LOW,24.06,Normal monitoring,23,0,17677,0
T1461,Central,5G,78.71,Warning,LOW,18.49,Normal monitoring,18,0,14782,0
T1462,Central,5G,77.9,Warning,MEDIUM,33.41,Increase monitoring frequency,13,0,8587,0
T1463,South,4G,78.91,Warning,MEDIUM,38.88,Increase monitoring frequency,18,0,14482,0
T1464,South,5G,77.78,Warning,LOW,24.6,Normal monitoring,22,0,15278,0
T1465,North,5G,78.9,Warning,MEDIUM,25.28,Increase monitoring frequency,23,0,16877,0
T1466,South,5G,79.56,Warning,MEDIUM,31.53,Increase monitoring frequency,24,0,16876,0
T1467,North,5G,79.02,Warning,LOW,12.65,Normal monitoring,21,0,11179,0
T1468,North,4G,78.17,Warning,CRITICAL,76.45,Immediate technician inspection,24,24,17476,17476
T1469,Central,4G,78.47,Warning,LOW,12.47,Normal monitoring,23,0,17977,0
T1470,South,5G,78.76,Warning,MEDIUM,30.72,Increase monitoring frequency,25,0,16275,0
T1471,Central,4G,52.78,Critical,CRITICAL,100.0,Immediate technician inspection,20,20,13480,13480
T1472,South,4G,50.55,Critical,CRITICAL,100.0,Immediate technician inspection,27,27,18773,18773
T1473,North,5G,78.77,Warning,MEDIUM,29.86,Increase monitoring frequency,23,0,18777,0
T1474,Central,5G,79.13,Warning,MEDIUM,27.3,Increase monitoring frequency,12,0,6488,0
T1475,Central,5G,79.04,Warning,LOW,12.77,Normal monitoring,14,0,10986,0
T1476,East,5G,78.68,Warning,MEDIUM,25.72,Increase monitoring frequency,21,0,14279,0
T1477,West,5G,78.95,Warning,LOW,20.04,Normal monitoring,16,0,13584,0
T1478,West,4G,78.25,Warning,LOW,12.57,Normal monitoring,17,0,13383,0
T1479,Central,5G,78.89,Warning,LOW,21.8,Normal monitoring,14,0,7586,0
T1480,East,4G,78.95,Warning,MEDIUM,30.32,Increase monitoring frequency,17,0,9383,0
T1481,West,5G,79.8,Warning,CRITICAL,80.25,Immediate technician inspection,20,20,13680,13680
T1482,West,5G,79.19,Warning,MEDIUM,26.99,Increase monitoring frequency,23,0,17677,0
T1483,South,5G,78.89,Warning,LOW,18.94,Normal monitoring,16,0,10184,0
T1484,North,4G,78.46,Warning,LOW,22.53,Normal monitoring,21,0,13279,0
T1485,Central,5G,78.41,Warning,MEDIUM,31.74,Increase monitoring frequency,13,0,8887,0
T1486,West,4G,78.75,Warning,MEDIUM,26.22,Increase monitoring frequency,18,0,11982,0
T1487,Central,4G,78.17,Warning,MEDIUM,33.38,Increase monitoring frequency,17,0,10783,0
T1488,East,5G,79.26,Warning,MEDIUM,38.14,Increase monitoring frequency,21,0,14179,0
T1489,East,5G,79.18,Warning,MEDIUM,26.31,Increase monitoring frequency,27,0,18773,0
T1490,East,4G,79.51,Warning,MEDIUM,46.61,Increase monitoring frequency,27,0,18973,0
T1491,South,5G,78.58,Warning,LOW,13.11,Normal monitoring,21,0,12479,0
T1492,East,5G,78.98,Warning,CRITICAL,80.26,Immediate technician inspection,25,25,15575,15575
T1493,West,4G,77.93,Warning,MEDIUM,28.38,Increase monitoring frequency,16,0,10784,0
T1494,West,5G,78.27,Warning,HIGH,64.27,Schedule preventive maintenance,21,21,16079,16079
T1495,East,5G,51.45,Critical,CRITICAL,100.0,Immediate technician inspection,21,21,13679,13679
T1496,West,5G,79.11,Warning,LOW,21.75,Normal monitoring,33,0,22767,0
T1497,Central,4G,78.32,Warning,LOW,23.08,Normal monitoring,23,0,16277,0
T1498,North,5G,79.07,Warning,LOW,11.21,Normal monitoring,13,0,10587,0
T1499,North,5G,78.47,Warning,LOW,22.06,Normal monitoring,17,0,8783,0
